"LHS2","LHS1","RHS","count","support","confidence","coverage","lift","addVal","kappa","oddsRatio","OR_lowerCI","OR_upperCI","fisher.p","fisher.padj_holm","Cluster_gupta2","Cat1","Cat2"
"","cebq34_lsSometimes","loc1=No",102,0.645569620253165,0.829268292682927,0.778481012658228,1.08284620036283,0.0634455078728002,0.280673799226041,4.09022556390977,1.81198382412186,9.23294399262581,0.000772389461777914,0.006,2,"lsS_FR",NA
"cebq34_lsSometimes","cBMI=HW","loc1=No",80,0.506329113924051,0.851063829787234,0.59493670886076,1.1113064884825,0.0852410449771075,0.225628230261985,3.20557491289199,1.49369516559417,6.87938928829225,0.00213650731422741,0.006,2,"cBMI=HW","lsS_FR"
"cebq34_lsSometimes","cebq1_gRarely","loc1=No",99,0.626582278481013,0.831932773109244,0.753164556962025,1.08632543926662,0.0661099882991172,0.272527954395966,3.825,1.72789193530244,8.46732639992279,0.000983278728899569,0.006,2,"gR_EF","lsS_FR"
"cebq34_lsSometimes","cebq14_lsSometimes","loc1=No",67,0.424050632911392,0.881578947368421,0.481012658227848,1.15115267507612,0.115756162558294,0.218313177320559,3.86008230452675,1.6795218483229,8.871712751221,0.000755829144487852,0.006,2,"lsS_FR","lsS_FR"
"cebq34_lsSometimes","cebq15_lsSometimes","loc1=No",93,0.588607594936709,0.830357142857143,0.708860759493671,1.08426800472255,0.0645343580470163,0.235221421215242,3.14661654135338,1.45577217627033,6.80133596431654,0.00331583100839051,0.006,2,"lsS_EOE","lsS_FR"
"cebq34_lsSometimes","cebq20_gRarely","loc1=No",93,0.588607594936709,0.837837837837838,0.70253164556962,1.09403618494528,0.0720150530277113,0.25791300796406,3.50595238095238,1.6220177643012,7.57803173801935,0.00134138255570963,0.006,2,"gR_EF","lsS_FR"
"cebq34_lsSometimes","cebq13_lsSometimes","loc1=No",92,0.582278481012658,0.836363636363636,0.69620253164557,1.09211119459053,0.0705408515535098,0.248228386313019,3.34865900383142,1.55356359497614,7.21793247486172,0.00188912485712125,0.006,2,"lsS_EOE","lsS_FR"
"cebq34_lsSometimes","cebq5_gRarely","loc1=No",97,0.613924050632911,0.836206896551724,0.734177215189874,1.0919065260758,0.0703841117415975,0.275229357798165,3.82894736842105,1.74750749450523,8.38957085805769,0.00080570904900295,0.006,2,"gR_EF","lsS_FR"
"cebq34_lsSometimes","cebq8_gRarely","loc1=No",81,0.512658227848101,0.861702127659574,0.594936708860759,1.12519781958854,0.0958793428494479,0.253787203707004,3.73846153846154,1.7240849535193,8.10638399576971,0.000599378589953128,0.0054,2,"gR_SE","lsS_FR"
"cebq34_lsSometimes","income_g50K","loc1=No",61,0.386075949367089,0.897058823529412,0.430379746835443,1.17136606708799,0.131236038719285,0.210353573027003,4.35714285714286,1.77754958841213,10.6802611872617,0.000495355585374428,0.0054,1,"income_g50K","lsS_FR"
"cebq34_lsSometimes","income_g75K","loc1=No",61,0.386075949367089,0.897058823529412,0.430379746835443,1.17136606708799,0.131236038719285,0.210353573027003,4.35714285714286,1.77754958841213,10.6802611872617,0.000495355585374428,0.0054,1,"income_g75K","lsS_FR"
